,PC1,PC2,PC3
XZC,-0.14279865489840984,-2.0099496056475066,0.42623781701249264
CFC,-0.3685939483796859,1.006866220336718,-0.1649263083768337
ROYAL,-0.23508843823461997,1.390019995868732,-0.31438295360091545
GNJ,-0.41618410298751285,2.031778733669486,-0.7012054356169917
TEAM,-0.3683434425093295,1.0066502032501548,-0.16490518163432982
LANA,-0.2765878571733429,2.1798319965905666,-0.7634751803123692
ELE,-0.14784346333142134,-1.997181882862819,0.3891478182517012
ZCL,-0.14580851806093748,-1.9693895866055198,0.3299784480217293
ARK,3.744151675607122,2.825692898591264,-0.07593050878862136
INSANE,-0.39502732360741866,1.364465517362423,-0.5130937595739465
KLC,-0.0918975304619365,-1.0469805154487533,0.006519737000557708
ATX,-0.21204752670681762,-0.8429480342541753,0.04445846069652351
EMB,0.8571005637054215,1.9652248344906276,-0.6524252805507994
XEN,-0.3953893558066673,1.364484264574731,-0.5130861621468661
FRE,-0.3697281329453912,1.0068481226190436,-0.16489252369780213
PLNC,-0.33444653592851664,1.1678553850356355,-0.5503460303750926
ARCO,-0.3346007388968805,1.167851168779221,-0.5503412088963934
KURT,-0.22328298920663897,-0.8428171450578035,0.0447528351551122
XCRE,-0.37030678498628006,1.0068682307867456,-0.16487909966065398
ENT,-0.3949646877801306,1.3644409784077032,-0.5130923068792644
EUC,-0.31203195704760445,0.927756489685226,-0.3858312336393987
BCF,-0.33444726379139345,1.1678600096309966,-0.550346611124149
XSN,-0.3669362074296245,1.1170110576088426,-0.2408402924132147
BCCOIN,-0.3345945258047541,1.1678629246249346,-0.5503429086453727
MONEY,-0.330187040461124,1.1673802928497634,-0.5504023454175385
XNG,-0.39541832720496245,1.3644830573153481,-0.5130852023551299
XCI,0.30527164343856567,-2.3514970568127587,0.3971815526849519
RC,-0.33380603667099845,1.167772731462787,-0.5503530412929875
PND,0.3472284839616408,0.5800266942482355,-0.25982463922371324
UNITS,-0.33479361700685356,1.1678737535124666,-0.5503387980938825
GAKH,-0.3348641168900678,1.1678812431239445,-0.5503378174458345
ASAFE2,-0.35479399063202893,1.1115324956023238,-0.20551828010523174
LTCR,-0.3525583153011658,0.8315526443425942,-0.2810653661714542
OS76,-0.1650809434016107,-1.039252249324065,0.007543746167739217
BIC,0.3054022493161029,-2.3514992789324216,0.39717822178594453
HXX,-0.14755986047957137,-2.1515528280234855,0.39674099471481655
KED,-0.3310946657348061,1.167498434945252,-0.5503925426952962
IOP,-0.3121456049874741,0.9277546779515203,-0.38582784855660696
KUSH,-0.39532835904209535,1.3644801903528692,-0.5130873232199448
PRX,-0.33464213452452374,1.1678692029724365,-0.5503424050164056
PAC,0.48908212378940213,-0.9200990825314875,0.03505221831343742
IMPCH,-0.334768985149724,1.1678664977073434,-0.5503385379255832
CTL,-0.1418737402097987,-2.1574314933292085,0.37184888197933985
ZBC,-0.2953541281311348,0.6016421467986116,-0.2448246722780285
FRST,-0.2747167529289537,0.5762757450608461,-0.37317408972666494
BVC,-0.16504925679692295,-1.03925251699376,0.007542902778835884
FIND,-0.23485650046465342,1.3900119360275052,-0.3143883342805294
VLTC,-0.21819403901002937,-0.8434187577618782,0.044689972521787844
ZER,-0.1458208774423244,-1.9693863491591552,0.3299783698778289
CHAT,-0.31563967179617186,1.1672131933485832,-0.550783801641605
CDN,-0.16318414966819675,-1.0393172828653683,0.0074996284588503695
ZOI,-0.14727848103817648,-2.1515596067711624,0.396734077331493
RNS,-0.29509544564322154,0.6016615652841171,-0.2448343647084995
DBIX,-0.15762833151877784,-2.3230855660611955,0.4593622478923525
XVP,-0.3945948330549406,1.3644107184699572,-0.5130986251348867
TAJ,-0.41198987346731064,2.2195817782154905,-0.6831280256974235
IMX,-0.39333426123950505,1.3644131834772533,-0.5131338812209674
EB3,-0.1360017175249593,-1.0423438614452254,0.007139562641857784
ATMOS,-0.368554910170727,1.0068078005359817,-0.16491979920559757
HPC,-0.39449280279006077,1.3644115945555546,-0.5131015666643369
CXT,-0.18208470814896713,-0.43180497433245135,-0.04361002223341264
MCRN,-0.36295984190841446,1.0066136763102322,-0.16504963768064465
RAIN,-0.3904376811585047,1.3641120569135423,-0.5131750292491389
IMS,-0.33471231766602916,1.1678675871400028,-0.550340249982675
ARGUS,-0.33471151817886746,1.167861418531207,-0.5503394705890919
LMC,-0.32784022931637824,1.1671084329351562,-0.5504320599373268
PROC,0.2591814836549291,0.30345085225779433,-0.08750865974842294
XGR,-0.3949708054632222,1.3644576437306708,-0.5130943028291048
BENJI,-0.164612028621563,-1.0392756453637058,0.007533790641725472
GRW,-0.278013199649237,0.6001652339777271,-0.24511335236251042
ILC,-0.10871851360514431,-1.281162610719607,0.1713530866234333
PHR,-0.3703410641726894,1.0068595775212859,-0.16487702523151687
DEA,-0.3339237712170033,1.1678043203445636,-0.5503538830383822
HTML5,0.8900657773143631,1.8987791479891194,-0.6958438630964754
USC,-0.2716331833215516,0.36141769633117315,-0.08032976580631938
EQT,-0.16443428639103005,-1.039304612204107,0.007532628611314178
QTUM,-0.357729819053323,0.7619658839137494,-0.06307398550997315
QRL,-0.14173147895778612,-2.1573634003886943,0.37183609130191103
ESP,0.557133567481151,1.5524724189461254,-0.6904295615450703
DYN,-0.15638874377530357,-2.066190812637697,0.45175185224890313
NANO,-0.04159104831829891,-2.367066959802901,0.47839058285533115
CHAN,-0.13768349701529503,-1.7098548586895674,0.37523136985857564
DCY,0.3413620197631542,-2.352841397347774,0.39635601953445837
DNR,-0.35224524552703756,1.775357755227269,-0.6014849265743218
DP,-0.2245095819022069,-0.8427206829720351,0.04477429492168691
VUC,-0.3507488601532736,1.7752786557909035,-0.601516119545862
BTPL,-0.407706609031784,2.243573640210823,-0.7922993119823595
UNIFY,-0.16475321928590106,-1.039263279795582,0.007536096847452987
BRIT,-0.27381337097079816,1.9561996437037932,-0.6199101312415822
SOCC,-0.16451686652771041,-1.0393078289585518,0.007535335242525718
ARC,-0.22490389076350747,-0.8426906330103829,0.044781318189313454
DAS,-0.22548082392836896,-0.8426612316753036,0.044793487032352704
LINDA,0.1295673568989714,1.130077236493996,-0.5582969167881036
XLC,0.30566626931744934,-2.351521252803914,0.39717375996485715
ONION,-0.27388406990507747,1.9562083165686595,-0.619909298829264
BTX,-0.12982984702941378,-1.734216355994804,0.3776922004200409
GCN,3.241595299272545,-1.1771769899839877,-0.06894769709192183
SMART,-0.11862497197634662,-1.0318725438228136,0.08842111308136583
SIGT,-0.3587007490375634,1.007968234377782,0.035287835968505286
