,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
FIND,X13,PoS,14524851.4827,14524851.4827,-0.2322947361712777,1.576883691614217,-0.36131166496523975,FindCoin,3
VLTC,X11,PoW,30385540.0,1000000000,-0.23953902226177023,-0.7999098696788832,0.03438097928487535,VaultCoin,0
ZER,Equihash,PoW,6921653.89980891,17000000,-0.13011828022514416,-2.194924278136617,0.232329511479339,Zero,0
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000,-0.30399256994346796,0.958526963144575,-0.5429002141220005,OpenChat,3
CDN,Scrypt,PoW,99843408.3158479,100000000 ,-0.16084156298156393,-1.1874123053391916,-0.011240953458703025,Canada eCoin,0
ZOI,Lyra2RE,PoW,18545757.5,21000000,-0.16094496295182495,-2.205418950474767,0.33333914480041876,Zoin,0
RNS,Scrypt,PoS,36050365.0,34426423,-0.27121538839260173,0.6612028373646105,-0.2712404613927262,RenosCoin,3
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901,-0.15770306291025904,-2.13920255863079,0.35276260832781026,DubaiCoin,0
XVP,X11,PoW/PoS,13162749.0858027,100000000,-0.4067441865334207,1.3473472128570805,-0.49651404031235735,VirtacoinPlus,3
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000,-0.40896909962188593,1.9183638283758442,-0.723989013522831,TajCoin,3
IMX,X11,PoW/PoS,110630387.850471,110000000,-0.405478196394224,1.347340083731392,-0.49657176984324636,Impact,3
EB3,Scrypt,PoW,64096052.0,4000000000,-0.13352865085306317,-1.1902717762988857,-0.011725239494754252,EB3coin,0
ATMOS,PoS,PoS,111135836.889,110290030,-0.3268082625593912,1.3886753741777405,-0.1446491363607953,Atmos,3
HPC,X11,PoW/PoS,21521322.0099142,100000000,-0.40664172070804855,1.3473472302367258,-0.49651888000643707,HappyCoin,3
CXT,NIST5,PoW,10123200.0,48252000,-0.19345681799317363,-0.5600013235830424,-0.052952289978622516,Coinonat,0
MCRN,PoS,PoS,401421401.0,400000000,-0.32118823665105795,1.3884635685998354,-0.14485472703880942,MacronCoin,3
RAIN,X11,PoW/PoS,121665451.643876,500000000,-0.402567807006339,1.3470541670129916,-0.4966286576611726,Condensate,3
